Student_ID,Time_Point,Health_Assessment,Nursing_Process,Nursing_Interventions,Assesment_Data_Knowledge,Confidence_of_Health_Assesment,Acute_Care_Nursing_Interventions_Confidence,Severe_Care_Nursing_Intervention_Confidence,Assesment_Data_Knowledge_Confidence,Year_Of_College,Previous_Simulation_Expiriences,Age,Gender,Race_Ethnicity,Actual_Simulation_Expiriences
47,Pre-test,SA,A,A,A,A,A,A,A,J3,Not_Similiar,21,Female,White,Reality_Goggles
47,Post-test,SA,A,A,SA,SA,A,A,SA,,,,,,
48,Pre-test,A,U,U,A,U,A,SA,A,J3,First,21,Male,White,First
48,Post-test,A,SA,SA,A,A,SA,A,SA,,,,,,
49,Pre-test,U,U,U,A,D,D,U,D,J3,First,20,Female,Asian_American,First
49,Post-test,A,A,U,A,U,A,A,A,,,,,,
50,Pre-test,A,A,A,A,U,U,A,U,J3,First,20,Male,White,First
50,Post-test,A,A,A,A,A,A,A,A,,,,,,
51,Pre-test,U,A,A,U,U,U,U,U,J3,First,20,Female,White,Gaming_and_Goggles
51,Post-test,A,A,A,A,U,A,A,A,,,,,,
52,Pre-test,U,SD,SD,SD,D,D,D,D,,Past_Year,25,Female,Asian_American,First
52,Pre-test,A,A,A,A,A,A,A,A,,,,,,
53,Pre-test,,A,A,U,U,U,U,U,J3,First,20,Female,White,First
53,Post-test,,A,A,A,U,A,A,A,,,,,,
54,Pre-test,U,U,A,SA,A,U,A,A,J4,Past_Year,23,Male,Black,Reality_Goggles
54,Post-test,A,U,U,A,A,U,U,A,,,,,,
55,Pre-test,A,U,U,U,U,U,D,U,J3,First,20,Female,White,Gaming_and_Goggles
55,Post-test,A,A,A,A,A,A,A,A,,,,,,
56,Pre-test,A,U,A,A,A,U,U,A,J3,First,21,Female,White,Reality_Goggles
56,Post-test,A,A,U,A,A,A,U,A,,,,,,
56,Two_Month,SA,SA,A,A,A,A,A,A,,,,,,
57,Pre-test,A,U,U,A,A,A,A,A,J3,Previous_Simulation_Expiriences,20,Female,Asian_American,First
57,Post-test,SA,A,A,A,A,A,A,A,,,,,,
58,Pre-test,U,A,U,D,D,A,A,A,J3,First,20,Female,White,Gaming_and_Goggles
58,Post-test,A,U,A,A,A,A,U,A,,,,,,
59,Pre-test,U,U,A,A,U,U,U,A,J3,First,21,Female,White,First
59,Post-test,A,A,A,A,U,A,A,A,,,,,,
60,Pre-test,U,A,A,U,U,U,A,U,J3,Previous_Simulation_Expiriences,22,Male,Asian_American,Gaming_and_Goggles
60,Post-test,,A,A,A,A,A,A,A,,,,,,
61,Pre-test,D,A,A,D,D,A,A,A,J3,First,20,Female,White,Gaming_and_Goggles
61,Post-test,A,A,A,A,A,A,A,A,,,,,,
61,Two_Month,,SA,SA,A,A,SA,SA,SA,,,,,,
62,Pre-test,U,A,A,U,U,A,A,U,J3,Past_Year,20,Female,White,Gaming_and_Goggles
62,Post-test,A,A,A,U,U,A,A,A,,,,,,
63,Pre-test,A,A,A,A,A,A,A,A,J3,Past_Year,20,Female,White,First
63,Post-test,SA,A,A,SA,SA,A,A,SA,,,,,,
64,Pre-test,U,A,A,A,U,A,A,U,J3,First,20,Female,White,First
64,Post-test,A,A,A,A,A,A,A,A,,,,,,
65,Pre-test,A,A,U,A,U,A,U,A,J3,First,21,Female,White,First
65,Post-test,,A,A,A,A,U,A,A,,,,,,
66,Pre-test,A,A,A,A,A,A,A,A,J3,First,20,Female,White,First
66,Post-test,A,A,SA,SA,A,A,SA,SA,,,,,,
67,Pre-test,A,A,A,A,A,A,A,A,J3,Not_Similiar,21,Female,White,First
67,Post-test,A,A,A,SA,A,A,A,A,,,,,,
68,Pre-test,A,A,A,A,A,A,A,A,J3,Past_Year,20,Male,White,Gaming_and_Goggles
68,Post-test,A,A,SA,SA,SA,A,A,SA,,,,,,
69,Pre-test,A,A,A,A,A,A,A,A,J4,First,21,Female,Hispanic,First
69,Post-test,A,A,A,A,A,A,A,A,,,,,,
70,Pre-test,U,A,SA,D,D,D,D,D,J3,First,20,Female,White,Reality_Goggles
70,Post-test,A,A,A,SA,A,U,SA,A,,,,,,
